요양기관명,총 의사 수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수
가톨릭대학교인천성모병원,338,0,23,67,245,1,0,0,2,0,0,0,0,0
강릉아산병원,192,3,0,34,153,0,0,0,2,0,0,0,0,0
강북삼성병원,410,1,39,121,241,4,0,0,4,0,0,0,0,0
건국대학교병원,413,2,37,139,233,0,0,0,2,0,0,0,0,0
경북대학교병원,499,4,82,188,224,0,0,0,1,0,0,0,0,0
경상국립대학교병원,332,1,35,110,184,0,0,0,2,0,0,0,0,0
경희대학교병원,475,2,69,162,242,0,0,0,0,0,0,0,0,0
계명대학교동산병원,416,1,47,135,229,3,0,0,1,0,0,0,0,0
고려대학교의과대학부속구로병원,561,1,35,156,334,0,6,17,12,0,0,0,0,0
고려대학교의과대학부속안산병원,398,1,27,114,251,0,0,0,5,0,0,0,0,0
단국대학교의과대학부속병원,349,1,31,105,212,0,0,0,0,0,0,0,0,0
대구가톨릭대학교병원,319,0,23,99,187,4,0,0,6,0,0,0,0,0
동아대학교병원,342,1,31,105,190,2,0,6,7,0,0,0,0,0
부산대학교병원,546,1,57,181,289,1,3,3,11,0,0,0,0,0
분당서울대학교병원,812,6,0,225,555,2,3,11,10,0,0,0,0,0
삼성서울병원,1398,19,121,404,838,0,0,2,14,0,0,0,0,0
서울대학교병원,1604,14,171,569,849,0,0,0,1,0,0,0,0,0
순천향대학교부속부천병원,379,0,29,100,242,1,0,0,7,0,0,0,0,0
아주대학교병원,672,11,58,166,408,2,4,13,10,0,0,0,0,0
양산부산대학교병원,457,1,39,123,292,1,0,0,1,0,0,0,0,0
연세대학교 원주세브란스기독병원,411,12,42,107,229,0,4,12,5,0,0,0,0,0
연세대학교의과대학 강남세브란스병원,552,1,36,125,337,0,10,29,14,0,0,0,0,0
연세대학교의과대학세브란스병원,1525,6,147,465,906,1,0,0,0,0,0,0,0,0
영남대학교병원,387,1,42,118,223,0,0,0,3,0,0,0,0,0
